,batch,urls
0,2320-2559,https://austin.craigslist.org/cto/d/2005-nissan-altima-low-miles/6575307287.html
1,2320-2559,https://austin.craigslist.org/cto/d/2007-lexus-ismi-clean-title/6574018595.html
2,2320-2559,https://austin.craigslist.org/cto/d/selling-ford-flex-2010-with/6573316408.html
3,2320-2559,https://austin.craigslist.org/cto/d/2007-lexus-ismi-great/6574018040.html
4,2320-2559,https://austin.craigslist.org/cto/d/2010-ford-flex-3rd-row-with/6573261352.html
5,2320-2559,https://austin.craigslist.org/ctd/d/2015-dodge-grand-caravan-sxt/6579843640.html
6,2320-2559,https://austin.craigslist.org/cto/d/2004-kia-amanti-lower/6573319005.html
7,2320-2559,https://austin.craigslist.org/ctd/d/2018-chevrolet-silverado-1500/6579842817.html
8,2320-2559,https://austin.craigslist.org/cto/d/2006-honda-pilot-ex-4dr/6573828116.html
9,2320-2559,https://austin.craigslist.org/ctd/d/2014-nissan-altima-25-no/6579840918.html
10,2320-2559,https://austin.craigslist.org/cto/d/2006-honda-accord-ex-for-sale/6579831478.html
11,2320-2559,https://austin.craigslist.org/ctd/d/2009-acura-rdx-tech-pkg/6579840258.html
12,2320-2559,https://austin.craigslist.org/cto/d/2007-ford-mustang-v6-deluxe/6579833936.html
13,2320-2559,https://austin.craigslist.org/cto/d/2007-chevy-impala/6574926871.html
14,2320-2559,https://austin.craigslist.org/cto/d/2001-honda-crv-awd/6573869665.html
15,2320-2559,https://austin.craigslist.org/cto/d/bmw-335i-clean-condition/6559516089.html
16,2320-2559,https://austin.craigslist.org/ctd/d/2016-chevrolet-malibu-limited/6579837669.html
17,2320-2559,https://austin.craigslist.org/cto/d/hyundai-accent/6568781582.html
18,2320-2559,https://austin.craigslist.org/cto/d/2007-tahoe-lt/6573802434.html
19,2320-2559,https://austin.craigslist.org/cto/d/1960-jeep-willys-1-ton-4-4/6579831328.html
20,2320-2559,https://austin.craigslist.org/ctd/d/2015-ford-flex-limited/6579835152.html
21,2320-2559,https://austin.craigslist.org/cto/d/2000-ford-e350-v10-box-truck/6579830205.html
22,2320-2559,https://austin.craigslist.org/cto/d/2011-tacoma-4x/6577650407.html
23,2320-2559,https://austin.craigslist.org/ctd/d/2015-chevrolet-sonic-ls-auto/6579834135.html
